root,case,robots,control_hz,repeat,deadline_ms,attainment_percent
serving_capacity_20260917,r2_hz20_rep1,2,20.0,1,200,50.0
serving_capacity_20260917,r2_hz20_rep1,2,20.0,1,250,50.0
serving_capacity_20260917,r2_hz20_rep1,2,20.0,1,500,100.0
serving_capacity_20260917,r2_hz20_rep1,2,20.0,1,1000,100.0
serving_capacity_20260917,r2_hz20_rep2,2,20.0,2,156,0.0
serving_capacity_20260917,r2_hz20_rep2,2,20.0,2,200,100.0
serving_capacity_20260917,r2_hz20_rep2,2,20.0,2,250,100.0
serving_capacity_20260917,r2_hz20_rep2,2,20.0,2,500,100.0
serving_capacity_20260917,r2_hz20_rep2,2,20.0,2,1000,100.0
serving_capacity_20260917,r2_hz20_rep3,2,20.0,3,156,0.0
serving_capacity_20260917,r2_hz20_rep3,2,20.0,3,200,47.5
serving_capacity_20260917,r2_hz20_rep3,2,20.0,3,250,50.0
serving_capacity_20260917,r2_hz20_rep3,2,20.0,3,500,100.0
serving_capacity_20260917,r2_hz20_rep3,2,20.0,3,1000,100.0
serving_capacity_20260917,r2_hz20_rep4,2,20.0,4,156,0.0
serving_capacity_20260917,r2_hz20_rep4,2,20.0,4,200,100.0
serving_capacity_20260917,r2_hz20_rep4,2,20.0,4,250,100.0
serving_capacity_20260917,r2_hz20_rep4,2,20.0,4,500,100.0
serving_capacity_20260917,r2_hz20_rep4,2,20.0,4,1000,100.0
serving_capacity_20260917,r3_hz20_rep0,3,20.0,0,156,0.0
serving_capacity_20260917,r3_hz20_rep0,3,20.0,0,200,32.5
serving_capacity_20260917,r3_hz20_rep0,3,20.0,0,250,33.333333333333336
serving_capacity_20260917,r3_hz20_rep0,3,20.0,0,500,100.0
serving_capacity_20260917,r3_hz20_rep0,3,20.0,0,1000,100.0
serving_capacity_20260917,r3_hz20_rep1,3,20.0,1,156,0.0
serving_capacity_20260917,r3_hz20_rep1,3,20.0,1,200,33.333333333333336
serving_capacity_20260917,r3_hz20_rep1,3,20.0,1,250,33.333333333333336
serving_capacity_20260917,r3_hz20_rep1,3,20.0,1,500,100.0
serving_capacity_20260917,r3_hz20_rep1,3,20.0,1,1000,100.0
serving_capacity_20260917,r3_hz20_rep2,3,20.0,2,156,0.8333333333333334
serving_capacity_20260917,r3_hz20_rep2,3,20.0,2,200,61.666666666666664
serving_capacity_20260917,r3_hz20_rep2,3,20.0,2,250,100.0
serving_capacity_20260917,r3_hz20_rep2,3,20.0,2,500,100.0
serving_capacity_20260917,r3_hz20_rep2,3,20.0,2,1000,100.0
serving_capacity_20260917,r3_hz20_rep3,3,20.0,3,156,0.0
serving_capacity_20260917,r3_hz20_rep3,3,20.0,3,200,66.66666666666667
serving_capacity_20260917,r3_hz20_rep3,3,20.0,3,250,66.66666666666667
