batch_size,index,action_step,kernel_union_ms,activity_union_ms,copy_union_ms,kernel_count
3,5,4,4.662438,5.334249,0.671811,590
3,5,5,4.59012,5.256681,0.666561,590
3,5,6,4.530056,5.194921,0.664865,590
3,5,7,4.534055,5.198249,0.664194,590
3,5,8,4.529065,5.194634,0.665569,590
3,5,9,4.504521,5.167369,0.662848,590
3,6,0,4.700712,5.372745,0.672033,590
3,6,1,4.689575,5.361289,0.671714,590
3,6,2,4.660809,5.328714,0.667905,590
3,6,3,4.661608,5.332009,0.670401,590
3,6,4,4.662921,5.331593,0.668672,590
3,6,5,4.581832,5.250474,0.668642,590
3,6,6,4.532167,5.196201,0.664034,590
3,6,7,4.528424,5.195305,0.666881,590
3,6,8,4.535049,5.197961,0.662912,590
3,6,9,4.475305,5.136841,0.661536,590
3,7,0,4.694536,5.368394,0.673858,590
3,7,1,4.688072,5.36001,0.671938,590
3,7,2,4.666695,5.338537,0.671842,590
3,7,3,4.674632,5.345994,0.671362,590
3,7,4,4.669225,5.34129,0.672065,590
3,7,5,4.677639,5.346569,0.66893,590
3,7,6,4.670633,5.342666,0.672033,590
3,7,7,4.678118,5.349351,0.671233,590
3,7,8,4.671176,5.343818,0.672642,590
3,7,9,4.674857,5.346762,0.671905,590
3,8,0,4.701545,5.371882,0.670337,590
3,8,1,4.696457,5.370378,0.673921,590
3,8,2,4.691816,5.360714,0.668898,590
3,8,3,4.690728,5.36257,0.671842,590
3,8,4,4.693063,5.363625,0.670562,590
3,8,5,4.566409,5.233034,0.666625,590
3,8,6,4.557064,5.221129,0.664065,590
3,8,7,4.551049,5.217866,0.666817,590
3,8,8,4.525927,5.187529,0.661602,590
3,8,9,4.477864,5.143209,0.665345,590
3,9,0,4.697894,5.371111,0.673217,590
3,9,1,4.691173,5.362664,0.671491,590
3,9,2,4.68631,5.357096,0.670786,590
3,9,3,4.679529,5.350313,0.670784,590
3,9,4,4.581222,5.2466,0.665378,590
3,9,5,4.583749,5.248136,0.664387,590
3,9,6,4.583077,5.250408,0.667331,590
3,9,7,4.538247,5.201897,0.66365,590
3,9,8,4.489224,5.152137,0.662913,590
3,9,9,4.491366,5.152296,0.66093,590
4,0,0,5.118183,5.81393,0.695747,608
4,0,1,5.109289,5.801322,0.692033,608
4,0,2,5.070025,5.761706,0.691681,608
4,0,3,5.069705,5.759114,0.689409,608
4,0,4,5.06996,5.762218,0.692258,608
4,0,5,4.939464,5.62436,0.684896,608
4,0,6,4.921001,5.606889,0.685888,608
4,0,7,4.925224,5.60801,0.682786,608
4,0,8,4.920264,5.607241,0.686977,608
4,0,9,4.828072,5.509834,0.681762,608
4,1,0,5.12305,5.814058,0.691008,608
4,1,1,5.111497,5.804297,0.6928,608
4,1,2,5.078857,5.768778,0.689921,608
4,1,3,5.075847,5.767496,0.691649,608
4,1,4,5.07108,5.761737,0.690657,608
4,1,5,4.993386,5.680778,0.687392,608
4,1,6,4.917319,5.599399,0.68208,608
4,1,7,4.919176,5.604905,0.685729,608
4,1,8,4.872105,5.556714,0.684609,608
4,1,9,4.824296,5.506537,0.682241,608
4,2,0,5.134632,5.828234,0.693602,608
4,2,1,5.128776,5.821962,0.693186,608
4,2,2,5.099177,5.794314,0.695137,608
4,2,3,5.042343,5.730472,0.688129,608
4,2,4,5.041225,5.732361,0.691136,608
4,2,5,4.993834,5.681098,0.687264,608
4,2,6,4.897513,5.583882,0.686369,608
4,2,7,4.896744,5.580777,0.684033,608
4,2,8,4.899304,5.58465,0.685346,608
4,2,9,4.823846,5.506216,0.68237,608
4,3,0,5.139656,5.832874,0.693218,608
4,3,1,5.128904,5.823305,0.694401,608
4,3,2,5.118566,5.8114,0.692834,608
4,3,3,5.02177,5.712202,0.690432,608
4,3,4,5.024169,5.712393,0.688224,608
4,3,5,5.018633,5.708937,0.690304,608
4,3,6,4.912137,5.596361,0.684224,608
4,3,7,4.884872,5.569928,0.685056,608
4,3,8,4.8874,5.570632,0.683232,608
4,3,9,4.857127,5.540104,0.682977,608
4,4,0,5.127559,5.822281,0.694722,608
4,4,1,5.125608,5.818634,0.693026,608
4,4,2,5.122025,5.816649,0.694624,608
4,4,3,5.001353,5.687689,0.686336,608
4,4,4,5.000489,5.691945,0.691456,608
4,4,5,5.004425,5.693033,0.688608,608
4,4,6,4.933156,5.619784,0.686628,608
4,4,7,4.876647,5.558664,0.682017,608
4,4,8,4.872521,5.557993,0.685472,608
4,4,9,4.856681,5.538089,0.681408,608
4,5,0,5.108391,5.799432,0.691041,608
4,5,1,5.093287,5.785674,0.692387,608
4,5,2,5.081768,5.772553,0.690785,608
4,5,3,5.075269,5.767113,0.691844,608
4,5,4,5.071977,5.762825,0.690848,608
4,5,5,4.923081,5.606985,0.683904,608
4,5,6,4.92196,5.60676,0.6848,608
4,5,7,4.921992,5.607752,0.68576,608
4,5,8,4.8978,5.581129,0.683329,608
4,5,9,4.830184,5.512457,0.682273,608
4,6,0,5.137,5.832041,0.695041,608
4,6,1,5.117448,5.809545,0.692097,608
4,6,2,5.084712,5.777224,0.692512,608
4,6,3,5.089094,5.779561,0.690467,608
4,6,4,5.08356,5.774825,0.691265,608
4,6,5,4.987845,5.673129,0.685284,608
4,6,6,4.925927,5.611337,0.68541,608
4,6,7,4.925542,5.60948,0.683938,608
4,6,8,4.875047,5.559816,0.684769,608
4,6,9,4.839336,5.519401,0.680065,608
4,7,0,5.143114,5.835114,0.692,608
4,7,1,5.138504,5.830888,0.692384,608
4,7,2,5.134311,5.827496,0.693185,608
4,7,3,5.037193,5.727177,0.689984,608
4,7,4,5.028136,5.718888,0.690752,608
4,7,5,5.031849,5.720873,0.689024,608
4,7,6,4.888487,5.57204,0.683553,608
4,7,7,4.8874,5.573961,0.686561,608
4,7,8,4.88887,5.571912,0.683042,608
4,7,9,4.841992,5.525736,0.683744,608
4,8,0,5.112998,5.806312,0.693314,608
4,8,1,5.132839,5.825384,0.692545,608
4,8,2,5.129351,5.824135,0.694784,608
4,8,3,5.108168,5.800073,0.691905,608
