phase,batch_size,index,start,end,pid,full_ms,kernel_union_ms,kernel_sum_ms,activity_union_ms,no_recorded_cuda_ms,kernel_count,streams,vlm_embed_kernel_ms,vlm_embed_activity_ms,vlm_embed_copy_ms,vlm_prefill_kernel_ms,vlm_prefill_activity_ms,vlm_prefill_copy_ms,action_kernel_ms,action_activity_ms,action_copy_ms,vlm_mixed_kernel_ms,vlm_mixed_activity_ms,vlm_mixed_copy_ms,mixed_kernel_ms,mixed_activity_ms,mixed_copy_ms,unattributed_kernel_ms,unattributed_activity_ms,unattributed_copy_ms,copy_union_ms,copy_bytes,h2d_copy_ms,h2d_bytes,d2h_copy_ms,d2h_bytes,d2d_copy_ms,d2d_bytes,cross_stage_overlap_ms,host_sync_union_ms,action_loop_body_count
after_traced,4,4,22083699972,22397295209,344233475047424,313.595237,272.062957,272.303534,289.267358,24.327878999999996,8312,5,38.036765,43.916259,5.809702,183.824652,188.02984,4.18586,50.1561,57.042891,6.886791,0.0,0.0,0.0,0.0,0.012416,0.012416,0.04544,0.265952,0.220512,17.115281,5674340279,0.209984,1810900,0.016352,10763,16.888945,5672518616,0.0,264.291119,10
after_traced,4,5,22397750235,22710838161,344233475047424,313.087926,271.946224,272.18872,289.142882,23.945043999999996,8312,5,37.686588,43.558755,5.801895,184.168912,188.372531,4.183971,50.04586,56.935596,6.889736,0.0,0.0,0.0,0.0,0.01184,0.01184,0.044864,0.26416,0.219296,17.106738,5674340279,0.20896,1810900,0.015808,10763,16.88197,5672518616,0.0,264.431481,10
after_traced,4,6,22711296931,23027496515,344233475047424,316.199584,270.989393,271.23217700000004,288.198396,28.001188000000013,8312,5,37.316541,43.204546,5.800229,183.363468,187.563471,4.180131,50.263848,57.158603,6.894755,0.0,0.0,0.0,0.0,0.01184,0.01184,0.045536,0.259936,0.2144,17.101355,5674340279,0.203936,1810900,0.015808,10763,16.881611,5672518616,-5.684341886080802e-14,261.470695,10
after_traced,4,7,23027987659,23342476552,344233475047424,314.488893,271.313652,271.55553999999995,288.509026,25.979867000000013,8312,5,37.962463,43.836835,5.8033,183.279823,187.481298,4.182243,50.026566,56.913293,6.886727,0.0,0.0,0.0,0.0,0.011904,0.011904,0.0448,0.265696,0.220896,17.10507,5674340279,0.210496,1810900,0.01584,10763,16.878734,5672518616,0.0,263.268122,10
after_traced,4,8,23342937440,23656481332,344233475047424,313.543892,272.573971,272.81058,289.789344,23.754548,8312,5,38.550752,44.431907,5.810307,183.88929,188.094704,4.18583,50.087977,56.970317,6.88234,0.0,0.0,0.0,0.0,0.012128,0.012128,0.045952,0.280288,0.234336,17.124941,5674340279,0.223776,1810900,0.016032,10763,16.885133,5672518616,0.0,264.450141,10
after_traced,4,9,23656941051,23971875080,344233475047424,314.934029,272.983666,273.224787,290.172159,24.761869999999988,8312,5,37.590269,43.459074,5.798181,185.361678,189.561905,4.181443,49.985927,56.872332,6.886405,0.0,0.0,0.0,0.0,0.01184,0.01184,0.045792,0.267008,0.221216,17.099085,5674340279,0.210592,1810900,0.016096,10763,16.872397,5672518616,0.0,265.22297,10
after_traced,3,0,23972351618,24235335619,344233475047424,262.984001,220.4924,220.74616,237.45747,25.526530999999977,8132,5,30.857624,36.721533,5.792965,143.251706,147.451805,4.178915,46.346046,53.033316,6.68727,0.0,0.0,0.0,0.0,0.01424,0.01424,0.037024,0.236576,0.199552,16.872942,5673884876,0.189152,1358185,0.01808,8075,16.66571,5672518616,2.842170943040401e-14,212.153989,10
after_traced,3,1,24235754483,24501254370,344233475047424,265.499887,219.622466,219.895394,236.558609,28.94127800000001,8132,5,29.810964,35.648119,5.767203,143.482385,147.688405,4.184804,46.291548,52.976676,6.685128,0.0,0.0,0.0,0.0,0.013536,0.013536,0.037569,0.231873,0.194304,16.844975,5673884876,0.18416,1358185,0.017376,8075,16.643439,5672518616,0.0,213.485505,10
after_traced,3,2,24501702497,24765885107,344233475047424,264.18261,221.356206,221.627791,238.306072,25.87653800000001,8132,5,30.24101,36.09116,5.777702,144.933116,149.138301,4.183809,46.145056,52.825251,6.680195,0.0,0.0,0.0,0.0,0.013664,0.013664,0.037024,0.237696,0.200672,16.856042,5673884876,0.190464,1358185,0.017536,8075,16.648042,5672518616,2.842170943040401e-14,215.35786,10
after_traced,3,3,24766291006,25025930339,344233475047424,259.639333,219.714217,219.983113,236.667281,22.97205200000002,8132,5,30.115889,35.968245,5.781956,143.278419,147.484183,4.184964,46.282341,52.965029,6.682688,0.0,0.0,0.0,0.0,0.013632,0.013632,0.037568,0.236192,0.198624,16.861864,5673884876,0.188352,1358185,0.017536,8075,16.655976,5672518616,0.0,212.720418,10
after_traced,3,4,25026342062,25287927374,344233475047424,261.585312,220.545259,220.80669999999998,237.4684,24.116911999999985,8132,5,30.483542,36.333176,5.777506,143.754704,147.960531,4.185251,46.269765,52.952261,6.682496,0.0,0.0,0.0,0.0,0.013824,0.013824,0.037248,0.208608,0.17136,16.830437,5673884876,0.160768,1358185,0.017984,8075,16.651685,5672518616,0.0,214.809399,10
after_traced,3,5,25288323470,25550454126,344233475047424,262.130656,220.246382,220.507726,237.160792,24.969864,8132,5,30.163573,36.012408,5.777379,143.774903,147.977466,4.182051,46.271106,52.955046,6.68394,0.0,0.0,0.0,0.0,0.01424,0.01424,0.0368,0.201632,0.164832,16.822442,5673884876,0.154496,1358185,0.018176,8075,16.64977,5672518616,0.0,213.433864,10
after_traced,3,6,25551250480,25814965506,344233475047424,263.715026,219.606538,219.88228199999998,236.498869,27.21615700000001,8132,5,29.555733,35.391609,5.765252,143.882776,148.084601,4.181473,46.131005,52.810787,6.679782,0.0,0.0,0.0,0.0,0.013664,0.013664,0.037024,0.198208,0.161184,16.801355,5673884876,0.151104,1358185,0.017472,8075,16.632779,5672518616,-2.842170943040401e-14,212.964869,10
after_traced,3,7,25815386692,26078873599,344233475047424,263.486907,220.772265,221.03360899999998,237.727379,25.75952799999996,8132,5,30.518932,36.377272,5.787044,143.804727,148.006489,4.180802,46.411006,53.09933,6.688324,0.0,0.0,0.0,0.0,0.014016,0.014016,0.0376,0.230272,0.192672,16.862858,5673884876,0.1824,1358185,0.017856,8075,16.662602,5672518616,0.0,214.582073,10
