batch_size,kernel_key,grid,block,static_shared,dynamic_shared,kernel_ms,sm_pct,tensor_pct,dram_pct,dram_gbps,l2_pct,l2_hit_pct,occupancy_pct,theoretical_occupancy_pct,registers_per_thread,shared_bytes_per_block,replay_passes,l2_gbps,l1_hit_pct,active_warps_per_scheduler,eligible_warps_per_scheduler,issued_warps_per_scheduler,no_eligible_pct,issue_active_pct,warp_cycles_barrier,warp_cycles_branch_resolving,warp_cycles_dispatch_stall,warp_cycles_drain,warp_cycles_imc_miss,warp_cycles_lg_throttle,warp_cycles_long_scoreboard,warp_cycles_math_pipe_throttle,warp_cycles_membar,warp_cycles_mio_throttle,warp_cycles_misc,warp_cycles_no_instruction,warp_cycles_not_selected,warp_cycles_selected,warp_cycles_short_scoreboard,warp_cycles_sleeping,warp_cycles_tex_throttle,warp_cycles_wait,stage,reference_total_ms,reference_count,samples,stage_rejected
1,input_transpose_fusion_1,"(756, 1, 1)","(128, 1, 1)",4224,0,0.0072,27.14,0.0,64.26,465.70666666667,23.6,70.27,54.42,100.0,26.0,5248.0,17.0,638.4711111111101,1.13,6.43,0.43,0.16,83.8,16.2,2.59,0.09,0.16,1.4,4.32,0.74,23.07,1.13,0.0,1.76,0.01,0.3,1.67,1.0,0.12,0.0,0.0,1.39,vlm_embed,0.059136,10.0,1,
1,input_transpose_fusion_2,"(288, 1, 1)","(128, 1, 1)",12672,0,0.01072,18.44,0.0,70.32,511.54626865672003,20.78,31.63,24.41,58.33,63.0,13696.0,17.0,564.3313432835799,0.0,2.95,0.08,0.06,94.38,5.62,1.34,0.04,0.06,0.49,3.52,9.59,22.98,0.03,0.0,10.32,0.0,0.24,0.37,1.0,0.66,0.0,0.0,1.56,vlm_embed,0.073634,10.0,1,
1,loop_add_fusion_2,"(1, 1, 1)","(1, 1, 1)",0,0,0.0026986666666666665,0.0,0.0,0.17,1.21759685475,0.8233333333333333,93.04,2.08,33.33,16.0,1024.0,17.0,22.146936583543336,50.0,0.96,0.01,0.01,98.93666666666667,1.0633333333333335,0.0,0.47,0.0,1.22,49.51,0.0,32.43,0.0,0.0,0.0,0.0,5.82,0.0,1.0,0.0,0.0,0.0,1.18,"action,vlm_embed,vlm_prefill",4.333283,2790.0,3,
1,loop_add_fusion_5,"(1, 1, 1)","(10, 1, 1)",0,0,0.0027199999999999998,0.0,0.0,0.16,1.1764705882400002,0.81,92.3,2.08,33.33,16.0,1024.0,17.0,22.15294117647,0.0,1.0,0.01,0.01,98.65,1.35,0.0,0.36,0.0,0.91,36.64,0.0,31.05,0.0,0.0,0.0,0.0,4.5,0.0,1.0,0.0,0.0,0.0,1.32,action,0.141698,100.0,1,
1,loop_add_fusion_6,"(8, 1, 1)","(128, 1, 1)",0,0,0.003168,0.35,0.0,0.28,2.06060606061,0.98,87.28,8.1,100.0,16.0,1024.0,17.0,26.52525252525,74.68,0.99,0.05,0.05,95.29,4.71,0.0,0.14,0.03,0.2,7.1,0.0,10.25,0.0,0.0,0.0,0.01,0.85,0.0,1.0,0.21,0.0,0.0,1.56,vlm_mixed,0.013375999999999999,10.0,1,
1,loop_and_fusion,"(1831, 1, 1)","(128, 1, 1)",0,0,0.004128,15.66,0.0,3.94,28.58914728682,13.06,99.49,63.54,100.0,16.0,1024.0,17.0,354.54263565891,78.84,7.83,0.6,0.27,72.98,27.02,0.0,0.17,0.25,0.49,3.74,0.72,15.9,1.09,0.0,0.26,0.01,0.57,1.19,1.0,0.67,0.0,0.0,1.87,vlm_mixed,0.025664000000000003,10.0,1,
1,loop_broadcast_fusion,"(77, 1, 1)","(128, 1, 1)",0,0,0.002784,0.88,0.0,0.26,1.8850574712600001,1.21,94.09,8.16,100.0,16.0,1024.0,17.0,32.873563218390004,45.25,1.01,0.02,0.02,97.68,2.32,0.0,0.46,0.0,0.56,21.32,0.0,14.65,0.0,0.0,0.0,0.0,1.67,0.0,1.0,0.63,0.0,0.0,2.66,action,0.145249,100.0,1,
1,loop_broadcast_fusion_1,"(8712, 1, 1)","(128, 1, 1)",0,0,0.013536,7.68,0.0,79.94,580.55791962175,24.59,99.96,35.58,100.0,16.0,1024.0,17.0,668.57446808511,0.0,4.24,0.12,0.1,89.96,10.04,0.0,0.79,0.39,24.97,4.14,0.06,0.0,0.04,0.0,1.67,0.01,1.08,0.21,1.0,8.34,0.0,0.0,1.88,vlm_mixed,0.136514,10.0,1,
1,loop_broadcast_fusion_2,"(8712, 1, 1)","(128, 1, 1)",0,0,0.013439999999999999,7.77,0.0,80.37,584.42857142857,24.77,99.95,36.65,100.0,16.0,1024.0,17.0,673.35476190476,0.0,5.13,0.12,0.1,90.19,9.81,0.0,0.79,0.38,26.96,4.13,0.15,0.0,0.04,0.0,0.93,0.01,1.06,0.2,1.0,9.7,0.0,0.0,1.88,vlm_mixed,0.134594,10.0,1,
1,loop_compare_fusion_3,"(1, 1, 1)","(1, 1, 1)",0,0,0.0028,0.0,0.0,0.175,1.2797805642600002,0.785,93.185,2.08,33.33,16.0,1024.0,17.0,21.286833855799998,0.0,1.01,0.02,0.02,98.30000000000001,1.7,0.0,0.29,0.0,0.75,29.45,0.0,21.93,0.0,0.0,0.0,0.0,3.5549999999999997,0.0,1.0,0.0,0.0,0.0,0.75,action,0.158912,110.0,2,
